2025-08-01 21:52:50,534 - CRITICAL - High confidence threat detected: {"timestamp": "2025-08-01T21:52:50.534016", "threat_type": "signature", "source_ip": "203.192.234.161", "destination_ip": "192.168.0.164", "confidence": 1.0, "details": {"type": "signature", "rule": "syn_flood", "confidence": 1.0}}
2025-08-01 21:52:50,534 - WARNING - {"timestamp": "2025-08-01T21:52:50.534016", "threat_type": "signature", "source_ip": "203.192.234.161", "destination_ip": "192.168.0.164", "confidence": 1.0, "details": {"type": "signature", "rule": "port_scan", "confidence": 1.0}}
2025-08-01 21:52:50,534 - CRITICAL - High confidence threat detected: {"timestamp": "2025-08-01T21:52:50.534016", "threat_type": "signature", "source_ip": "203.192.234.161", "destination_ip": "192.168.0.164", "confidence": 1.0, "details": {"type": "signature", "rule": "port_scan", "confidence": 1.0}}
2025-08-01 21:52:50,548 - WARNING - {"timestamp": "2025-08-01T21:52:50.548545", "threat_type": "signature", "source_ip": "192.168.0.164", "destination_ip": "203.192.234.161", "confidence": 1.0, "details": {"type": "signature", "rule": "port_scan", "confidence": 1.0}}
2025-08-01 21:52:50,548 - CRITICAL - High confidence threat detected: {"timestamp": "2025-08-01T21:52:50.548545", "threat_type": "signature", "source_ip": "192.168.0.164", "destination_ip": "203.192.234.161", "confidence": 1.0, "details": {"type": "signature", "rule": "port_scan", "confidence": 1.0}}
2025-08-01 21:52:50,548 - WARNING - {"timestamp": "2025-08-01T21:52:50.548545", "threat_type": "anomaly", "source_ip": "192.168.0.164", "destination_ip": "203.192.234.161", "confidence": 0.5366370780356127, "details": {"type": "anomaly", "score": -0.5366370780356127, "confidence": 0.5366370780356127}}
2025-08-01 21:52:50,548 - WARNING - {"timestamp": "2025-08-01T21:52:50.548545", "threat_type": "anomaly", "source_ip": "192.168.0.164", "destination_ip": "203.192.234.161", "confidence": 0.6266144092589138, "details": {"type": "anomaly", "score": -0.6266144092589138, "confidence": 0.6266144092589138}}
2025-08-01 21:52:50,586 - WARNING - {"timestamp": "2025-08-01T21:52:50.586621", "threat_type": "anomaly", "source_ip": "203.192.234.161", "destination_ip": "192.168.0.164", "confidence": 0.6989027674466286, "details": {"type": "anomaly", "score": -0.6989027674466286, "confidence": 0.6989027674466286}}
2025-08-01 21:52:50,595 - WARNING - {"timestamp": "2025-08-01T21:52:50.595134", "threat_type": "anomaly", "source_ip": "203.192.234.161", "destination_ip": "192.168.0.164", "confidence": 0.7023292621532023, "details": {"type": "anomaly", "score": -0.7023292621532023, "confidence": 0.7023292621532023}}
2025-08-01 21:52:50,596 - WARNING - {"timestamp": "2025-08-01T21:52:50.596190", "threat_type": "anomaly", "source_ip": "203.192.234.161", "destination_ip": "192.168.0.164", "confidence": 0.6572179393310327, "details": {"type": "anomaly", "score": -0.6572179393310327, "confidence": 0.6572179393310327}}
2025-08-01 21:52:50,596 - WARNING - {"timestamp": "2025-08-01T21:52:50.596190", "threat_type": "signature", "source_ip": "192.168.0.164", "destination_ip": "203.192.234.161", "confidence": 1.0, "details": {"type": "signature", "rule": "port_scan", "confidence": 1.0}}
2025-08-01 21:52:50,596 - CRITICAL - High confidence threat detected: {"timestamp": "2025-08-01T21:52:50.596190", "threat_type": "signature", "source_ip": "192.168.0.164", "destination_ip": "203.192.234.161", "confidence": 1.0, "details": {"type": "signature", "rule": "port_scan", "confidence": 1.0}}
2025-08-01 21:52:50,596 - WARNING - {"timestamp": "2025-08-01T21:52:50.596190", "threat_type": "anomaly", "source_ip": "192.168.0.164", "destination_ip": "203.192.234.161", "confidence": 0.5278852664407411, "details": {"type": "anomaly", "score": -0.5278852664407411, "confidence": 0.5278852664407411}}
2025-08-01 21:52:50,613 - WARNING - {"timestamp": "2025-08-01T21:52:50.611902", "threat_type": "anomaly", "source_ip": "192.168.0.164", "destination_ip": "203.192.234.161", "confidence": 0.6127293938350722, "details": {"type": "anomaly", "score": -0.6127293938350722, "confidence": 0.6127293938350722}}
2025-08-01 21:52:50,660 - WARNING - {"timestamp": "2025-08-01T21:52:50.660319", "threat_type": "anomaly", "source_ip": "203.192.234.161", "destination_ip": "192.168.0.164", "confidence": 0.5201966259106886, "details": {"type": "anomaly", "score": -0.5201966259106886, "confidence": 0.5201966259106886}}
2025-08-01 21:52:50,660 - WARNING - {"timestamp": "2025-08-01T21:52:50.660831", "threat_type": "anomaly", "source_ip": "203.192.234.161", "destination_ip": "192.168.0.164", "confidence": 0.6212742756954998, "details": {"type": "anomaly", "score": -0.6212742756954998, "confidence": 0.6212742756954998}}
2025-08-01 21:52:50,660 - WARNING - {"timestamp": "2025-08-01T21:52:50.660831", "threat_type": "anomaly", "source_ip": "192.168.0.164", "destination_ip": "203.192.234.161", "confidence": 0.5684170970321865, "details": {"type": "anomaly", "score": -0.5684170970321865, "confidence": 0.5684170970321865}}
2025-08-01 21:52:50,680 - WARNING - {"timestamp": "2025-08-01T21:52:50.680122", "threat_type": "anomaly", "source_ip": "192.168.0.164", "destination_ip": "203.192.234.161", "confidence": 0.6082508295145879, "details": {"type": "anomaly", "score": -0.6082508295145879, "confidence": 0.6082508295145879}}
2025-08-01 21:52:50,684 - WARNING - {"timestamp": "2025-08-01T21:52:50.684511", "threat_type": "signature", "source_ip": "203.192.234.161", "destination_ip": "192.168.0.164", "confidence": 1.0, "details": {"type": "signature", "rule": "port_scan", "confidence": 1.0}}
2025-08-01 21:52:50,684 - CRITICAL - High confidence threat detected: {"timestamp": "2025-08-01T21:52:50.684511", "threat_type": "signature", "source_ip": "203.192.234.161", "destination_ip": "192.168.0.164", "confidence": 1.0, "details": {"type": "signature", "rule": "port_scan", "confidence": 1.0}}
2025-08-01 21:52:50,684 - WARNING - {"timestamp": "2025-08-01T21:52:50.684511", "threat_type": "anomaly", "source_ip": "203.192.234.161", "destination_ip": "192.168.0.164", "confidence": 0.5214702448685589, "details": {"type": "anomaly", "score": -0.5214702448685589, "confidence": 0.5214702448685589}}
2025-08-01 21:52:50,691 - WARNING - {"timestamp": "2025-08-01T21:52:50.691717", "threat_type": "signature", "source_ip": "203.192.234.161", "destination_ip": "192.168.0.164", "confidence": 1.0, "details": {"type": "signature", "rule": "port_scan", "confidence": 1.0}}
2025-08-01 21:52:50,691 - CRITICAL - High confidence threat detected: {"timestamp": "2025-08-01T21:52:50.691717", "threat_type": "signature", "source_ip": "203.192.234.161", "destination_ip": "192.168.0.164", "confidence": 1.0, "details": {"type": "signature", "rule": "port_scan", "confidence": 1.0}}
2025-08-01 21:52:50,691 - WARNING - {"timestamp": "2025-08-01T21:52:50.691717", "threat_type": "anomaly", "source_ip": "203.192.234.161", "destination_ip": "192.168.0.164", "confidence": 0.5221082232160512, "details": {"type": "anomaly", "score": -0.5221082232160512, "confidence": 0.5221082232160512}}
2025-08-01 21:52:50,691 - WARNING - {"timestamp": "2025-08-01T21:52:50.691717", "threat_type": "anomaly", "source_ip": "203.192.234.161", "destination_ip": "192.168.0.164", "confidence": 0.5689517554144182, "details": {"type": "anomaly", "score": -0.5689517554144182, "confidence": 0.5689517554144182}}
2025-08-01 21:52:50,707 - WARNING - {"timestamp": "2025-08-01T21:52:50.707361", "threat_type": "signature", "source_ip": "203.192.234.161", "destination_ip": "192.168.0.164", "confidence": 1.0, "details": {"type": "signature", "rule": "port_scan", "confidence": 1.0}}
2025-08-01 21:52:50,707 - CRITICAL - High confidence threat detected: {"timestamp": "2025-08-01T21:52:50.707361", "threat_type": "signature", "source_ip": "203.192.234.161", "destination_ip": "192.168.0.164", "confidence": 1.0, "details": {"type": "signature", "rule": "port_scan", "confidence": 1.0}}
2025-08-01 21:52:50,707 - WARNING - {"timestamp": "2025-08-01T21:52:50.707361", "threat_type": "anomaly", "source_ip": "203.192.234.161", "destination_ip": "192.168.0.164", "confidence": 0.5472530721073298, "details": {"type": "anomaly", "score": -0.5472530721073298, "confidence": 0.5472530721073298}}
2025-08-01 21:52:50,709 - WARNING - {"timestamp": "2025-08-01T21:52:50.709126", "threat_type": "signature", "source_ip": "192.168.0.164", "destination_ip": "203.192.234.161", "confidence": 1.0, "details": {"type": "signature", "rule": "port_scan", "confidence": 1.0}}
2025-08-01 21:52:50,709 - CRITICAL - High confidence threat detected: {"timestamp": "2025-08-01T21:52:50.709126", "threat_type": "signature", "source_ip": "192.168.0.164", "destination_ip": "203.192.234.161", "confidence": 1.0, "details": {"type": "signature", "rule": "port_scan", "confidence": 1.0}}
2025-08-01 21:52:50,709 - WARNING - {"timestamp": "2025-08-01T21:52:50.709126", "threat_type": "anomaly", "source_ip": "192.168.0.164", "destination_ip": "203.192.234.161", "confidence": 0.516895083500698, "details": {"type": "anomaly", "score": -0.516895083500698, "confidence": 0.516895083500698}}
2025-08-01 21:52:50,709 - WARNING - {"timestamp": "2025-08-01T21:52:50.709126", "threat_type": "signature", "source_ip": "192.168.0.164", "destination_ip": "203.192.234.161", "confidence": 1.0, "details": {"type": "signature", "rule": "port_scan", "confidence": 1.0}}
2025-08-01 21:52:50,709 - CRITICAL - High confidence threat detected: {"timestamp": "2025-08-01T21:52:50.709126", "threat_type": "signature", "source_ip": "192.168.0.164", "destination_ip": "203.192.234.161", "confidence": 1.0, "details": {"type": "signature", "rule": "port_scan", "confidence": 1.0}}
2025-08-01 21:52:50,709 - WARNING - {"timestamp": "2025-08-01T21:52:50.709126", "threat_type": "anomaly", "source_ip": "192.168.0.164", "destination_ip": "203.192.234.161", "confidence": 0.5425892717623966, "details": {"type": "anomaly", "score": -0.5425892717623966, "confidence": 0.5425892717623966}}
2025-08-01 21:52:50,739 - WARNING - {"timestamp": "2025-08-01T21:52:50.739092", "threat_type": "signature", "source_ip": "203.192.234.161", "destination_ip": "192.168.0.164", "confidence": 1.0, "details": {"type": "signature", "rule": "port_scan", "confidence": 1.0}}
2025-08-01 21:52:50,739 - CRITICAL - High confidence threat detected: {"timestamp": "2025-08-01T21:52:50.739092", "threat_type": "signature", "source_ip": "203.192.234.161", "destination_ip": "192.168.0.164", "confidence": 1.0, "details": {"type": "signature", "rule": "port_scan", "confidence": 1.0}}
2025-08-01 21:52:50,739 - WARNING - {"timestamp": "2025-08-01T21:52:50.739092", "threat_type": "anomaly", "source_ip": "203.192.234.161", "destination_ip": "192.168.0.164", "confidence": 0.5221082232160512, "details": {"type": "anomaly", "score": -0.5221082232160512, "confidence": 0.5221082232160512}}
2025-08-01 21:52:50,832 - WARNING - {"timestamp": "2025-08-01T21:52:50.832817", "threat_type": "anomaly", "source_ip": "203.192.234.161", "destination_ip": "192.168.0.164", "confidence": 0.6047630483467797, "details": {"type": "anomaly", "score": -0.6047630483467797, "confidence": 0.6047630483467797}}
2025-08-01 21:52:50,848 - WARNING - {"timestamp": "2025-08-01T21:52:50.848432", "threat_type": "anomaly", "source_ip": "203.192.234.161", "destination_ip": "192.168.0.164", "confidence": 0.540040051576294, "details": {"type": "anomaly", "score": -0.540040051576294, "confidence": 0.540040051576294}}
2025-08-01 21:52:50,874 - WARNING - {"timestamp": "2025-08-01T21:52:50.874996", "threat_type": "anomaly", "source_ip": "203.192.234.161", "destination_ip": "192.168.0.164", "confidence": 0.540040051576294, "details": {"type": "anomaly", "score": -0.540040051576294, "confidence": 0.540040051576294}}
2025-08-01 21:52:50,881 - WARNING - {"timestamp": "2025-08-01T21:52:50.881884", "threat_type": "anomaly", "source_ip": "192.168.0.164", "destination_ip": "203.192.234.161", "confidence": 0.5005900930134892, "details": {"type": "anomaly", "score": -0.5005900930134892, "confidence": 0.5005900930134892}}
2025-08-01 21:52:50,889 - WARNING - {"timestamp": "2025-08-01T21:52:50.889642", "threat_type": "anomaly", "source_ip": "203.192.234.161", "destination_ip": "192.168.0.164", "confidence": 0.5351266076745348, "details": {"type": "anomaly", "score": -0.5351266076745348, "confidence": 0.5351266076745348}}
2025-08-01 21:52:50,896 - WARNING - {"timestamp": "2025-08-01T21:52:50.896160", "threat_type": "signature", "source_ip": "203.192.234.161", "destination_ip": "192.168.0.164", "confidence": 1.0, "details": {"type": "signature", "rule": "port_scan", "confidence": 1.0}}
2025-08-01 21:52:50,896 - CRITICAL - High confidence threat detected: {"timestamp": "2025-08-01T21:52:50.896160", "threat_type": "signature", "source_ip": "203.192.234.161", "destination_ip": "192.168.0.164", "confidence": 1.0, "details": {"type": "signature", "rule": "port_scan", "confidence": 1.0}}
2025-08-01 21:52:50,896 - WARNING - {"timestamp": "2025-08-01T21:52:50.896160", "threat_type": "anomaly", "source_ip": "203.192.234.161", "destination_ip": "192.168.0.164", "confidence": 0.5214702448685589, "details": {"type": "anomaly", "score": -0.5214702448685589, "confidence": 0.5214702448685589}}
2025-08-01 21:53:35,668 - WARNING - {"timestamp": "2025-08-01T21:53:35.668112", "threat_type": "signature", "source_ip": "192.168.0.164", "destination_ip": "3.233.158.26", "confidence": 1.0, "details": {"type": "signature", "rule": "syn_flood", "confidence": 1.0}}
2025-08-01 21:53:35,668 - CRITICAL - High confidence threat detected: {"timestamp": "2025-08-01T21:53:35.668112", "threat_type": "signature", "source_ip": "192.168.0.164", "destination_ip": "3.233.158.26", "confidence": 1.0, "details": {"type": "signature", "rule": "syn_flood", "confidence": 1.0}}
2025-08-01 21:53:35,668 - WARNING - {"timestamp": "2025-08-01T21:53:35.668112", "threat_type": "signature", "source_ip": "192.168.0.164", "destination_ip": "3.233.158.26", "confidence": 1.0, "details": {"type": "signature", "rule": "port_scan", "confidence": 1.0}}
2025-08-01 21:53:35,668 - CRITICAL - High confidence threat detected: {"timestamp": "2025-08-01T21:53:35.668112", "threat_type": "signature", "source_ip": "192.168.0.164", "destination_ip": "3.233.158.26", "confidence": 1.0, "details": {"type": "signature", "rule": "port_scan", "confidence": 1.0}}
2025-08-01 21:53:35,921 - WARNING - {"timestamp": "2025-08-01T21:53:35.920805", "threat_type": "signature", "source_ip": "3.233.158.26", "destination_ip": "192.168.0.164", "confidence": 1.0, "details": {"type": "signature", "rule": "syn_flood", "confidence": 1.0}}
2025-08-01 21:53:35,922 - CRITICAL - High confidence threat detected: {"timestamp": "2025-08-01T21:53:35.920805", "threat_type": "signature", "source_ip": "3.233.158.26", "destination_ip": "192.168.0.164", "confidence": 1.0, "details": {"type": "signature", "rule": "syn_flood", "confidence": 1.0}}
2025-08-01 21:53:35,922 - WARNING - {"timestamp": "2025-08-01T21:53:35.922386", "threat_type": "signature", "source_ip": "3.233.158.26", "destination_ip": "192.168.0.164", "confidence": 1.0, "details": {"type": "signature", "rule": "port_scan", "confidence": 1.0}}
